fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
9.3,0.5,0.252,2.13,0.013,8.5,40.5,0.99289,3.05,0.725,10.8,7
8.78,0.828,0.382,2.79,0.034,19.2,45.1,0.99923,3.42,0.479,9.1,5
7.24,0.609,0.481,1.64,0.131,29.4,93.5,0.99959,3.4,1.046,9.4,5
7.95,0.729,0.426,2.39,0.068,1.0,42.5,0.99238,3.16,0.903,11.1,5
7.46,0.658,0.366,1.44,0.177,17.2,58.2,0.99468,3.27,0.756,8.4,5
7.3,0.782,0.473,1.86,0.067,14.4,61.8,0.99326,3.3,0.672,11.0,5
9.74,0.763,0.492,2.57,0.093,22.7,34.9,0.99537,3.29,0.626,10.0,5
8.91,0.8,0.558,1.32,0.135,18.1,73.9,0.99589,3.35,0.533,9.1,6
7.12,0.654,0.393,2.68,0.157,8.5,42.0,0.99338,3.52,0.672,8.6,5
9.83,0.685,0.238,2.28,0.159,12.8,61.2,0.9947,3.47,0.701,11.4,5
8.82,0.538,0.323,2.79,0.123,8.0,21.6,0.99359,3.1,0.486,9.4,6
9.68,0.662,0.499,2.49,0.123,26.8,30.7,0.99752,3.4,0.713,8.5,5
9.37,0.714,0.14,3.71,0.102,16.2,67.6,0.99627,3.49,0.66,11.5,6
6.89,0.818,0.34,2.4,0.114,35.0,77.5,0.9952,3.37,0.355,10.0,5
7.35,0.49,0.245,1.98,0.056,15.4,32.4,0.99564,3.44,0.572,10.1,7
9.57,0.778,0.3,2.4,0.052,8.9,26.5,0.99473,3.6,0.619,10.6,6
9.34,0.896,0.513,2.78,0.087,1.0,58.5,0.99632,3.46,0.962,8.7,5
8.26,0.884,0.256,2.34,0.093,1.0,12.2,1.00298,3.38,0.699,9.5,3
8.5,0.909,0.304,2.33,0.065,1.0,68.9,0.99945,3.45,0.471,11.4,6
10.47,0.564,0.037,1.8,0.105,18.7,35.7,0.99285,3.32,0.763,10.9,6
7.29,0.503,0.437,1.82,0.114,21.1,68.9,0.99817,3.3,0.437,10.7,6
9.23,0.434,0.418,1.41,0.084,1.0,29.4,0.99813,3.24,0.858,12.1,6
7.96,0.914,0.681,4.24,0.139,25.0,72.0,0.99413,3.54,0.585,9.7,5
7.93,0.805,0.212,1.49,0.047,11.2,35.3,0.99905,3.19,0.645,8.5,5
10.17,0.713,0.312,1.8,0.08,17.5,49.2,1.00084,3.54,0.872,10.1,5
9.7,0.701,0.342,1.79,0.056,32.1,67.9,0.99329,3.37,0.479,12.4,6
9.68,0.519,0.595,3.15,0.016,25.0,39.9,0.99381,3.09,0.461,9.3,6
10.52,1.038,0.252,2.07,0.084,13.3,63.1,0.99954,3.37,0.567,9.3,5
8.34,0.737,0.323,3.56,0.083,7.1,31.8,0.99768,2.99,0.826,10.1,5
9.46,0.734,0.386,1.82,0.14,1.0,31.4,0.99838,3.4,0.417,9.6,5
7.77,0.814,0.305,2.54,0.109,8.8,23.9,0.99785,3.44,0.33,8.7,5
8.85,0.728,0.21,1.72,0.045,13.9,6.0,0.99708,3.21,0.613,11.5,6
8.08,0.694,0.332,4.87,0.146,6.1,37.3,0.99278,3.31,0.773,12.7,6
8.46,0.507,0.524,1.52,0.118,14.7,97.9,0.99782,3.57,0.902,11.2,7
9.31,0.726,0.1,2.56,0.101,16.8,67.5,0.99902,3.22,0.611,9.4,6
6.91,0.965,0.295,2.87,0.079,13.8,48.4,0.99643,3.15,0.594,8.4,5
11.86,0.84,0.162,2.66,0.047,9.5,39.2,0.99599,3.52,0.87,10.6,6
6.59,0.872,0.522,2.16,0.068,17.7,53.1,0.99227,3.59,0.386,11.5,6
6.24,0.599,0.006,2.2,0.119,20.4,66.4,0.99739,3.3,0.623,10.8,6
10.27,0.536,0.189,2.34,0.147,5.1,16.5,0.99753,3.45,0.715,10.3,6
9.65,0.649,0.367,2.18,0.135,30.1,87.4,0.99594,3.5,0.757,9.8,6
9.36,0.672,0.592,3.22,0.064,15.0,64.3,0.99891,3.18,0.603,9.3,6
9.37,0.862,0.258,4.99,0.048,16.2,65.6,0.99616,3.24,0.666,10.5,5
8.28,0.555,0.14,1.89,0.098,23.1,66.9,0.99931,3.51,0.33,10.0,4
6.77,0.919,0.627,1.42,0.025,18.3,53.7,0.99445,3.56,0.555,8.4,5
8.43,0.754,0.0,2.23,0.104,25.5,74.0,0.99784,3.41,0.708,10.6,4
7.15,0.61,0.0,5.67,0.076,18.9,65.7,0.99566,3.16,0.528,10.9,6
9.96,0.588,0.354,1.74,0.071,9.9,37.8,0.99756,3.61,0.669,11.1,5
8.05,0.45,0.2,4.08,0.025,19.6,43.1,0.99518,3.22,0.756,9.0,6
6.9,0.717,0.126,4.14,0.093,4.6,41.6,0.99487,3.23,0.655,9.6,7
7.75,0.73,0.405,1.89,0.068,17.1,83.1,0.99907,3.36,0.687,9.6,5
9.0,0.552,0.316,2.81,0.046,15.7,25.9,0.99591,3.54,0.506,10.2,5
7.34,0.497,0.188,4.07,0.012,13.9,19.6,0.99208,3.42,0.652,12.1,6
6.9,0.676,0.027,2.01,0.086,14.7,53.0,1.00137,3.37,0.758,10.4,5
8.71,0.937,0.436,2.14,0.149,1.0,37.0,1.00045,3.38,0.685,9.5,5
8.72,0.686,0.394,1.88,0.145,10.5,49.0,0.99377,3.32,0.566,8.7,5
7.44,0.525,0.251,1.61,0.071,16.9,56.8,0.99872,3.39,0.696,10.9,5
7.5,0.578,0.671,1.83,0.054,17.6,48.1,0.99394,2.9,0.824,10.0,7
8.69,0.63,0.092,1.5,0.097,5.7,70.5,0.99676,3.25,0.357,12.0,6
5.84,0.314,0.005,2.33,0.046,28.7,31.6,0.99684,3.33,0.87,10.1,6
5.91,0.603,0.189,1.76,0.086,7.3,25.8,0.99461,3.11,0.656,12.6,7
7.08,0.635,0.286,2.5,0.108,25.7,58.6,0.99414,3.35,0.753,11.0,6
7.94,0.811,0.316,1.33,0.13,20.3,22.4,0.99527,3.28,0.852,9.6,5
8.83,0.85,0.274,2.58,0.071,9.5,41.0,0.99291,3.54,0.491,10.5,7
10.81,0.811,0.362,3.08,0.074,33.8,102.0,0.99402,3.53,0.571,10.0,6
9.76,0.63,0.057,1.14,0.05,4.1,39.5,0.99593,3.23,0.639,10.8,6
8.03,0.466,0.594,2.62,0.046,25.2,64.8,0.99341,3.26,0.585,11.1,7
8.27,1.055,0.254,3.53,0.079,26.0,35.8,0.99871,3.3,0.938,9.1,5
6.6,0.728,0.482,1.51,0.1,9.3,32.0,1.00072,3.24,0.523,9.5,5
8.27,0.722,0.335,4.13,0.119,29.9,57.4,0.99555,3.34,0.571,9.8,5
7.81,0.717,0.357,2.66,0.059,13.5,42.1,0.9976,3.2,0.693,8.4,5
8.85,0.691,0.403,1.8,0.133,18.9,79.5,0.99735,3.13,0.493,10.8,6
6.89,0.646,0.38,2.26,0.072,18.6,64.8,0.99728,3.39,0.622,9.4,6
9.18,0.7,0.367,2.8,0.092,14.7,27.4,0.99809,3.42,0.686,8.4,4
10.91,0.594,0.548,2.36,0.055,24.1,64.0,0.99796,3.17,0.632,8.7,6
8.12,0.716,0.307,2.78,0.012,23.9,68.9,0.99821,3.44,0.645,8.4,5
8.98,0.649,0.405,1.67,0.118,1.0,58.8,0.99391,3.22,0.575,8.4,5
9.47,0.627,0.253,2.44,0.113,29.0,95.7,0.99917,3.35,0.418,9.0,5
7.62,0.734,0.544,1.4,0.077,1.0,15.7,0.99922,3.43,0.711,11.7,5
8.68,0.577,0.191,2.21,0.077,26.3,45.1,0.99329,3.27,0.991,10.5,7
8.32,0.916,0.612,1.68,0.105,27.3,37.1,0.99709,3.38,0.663,9.9,5
8.47,0.32,0.287,1.78,0.026,5.1,35.4,0.99781,3.22,0.721,10.8,6
6.99,0.807,0.023,3.55,0.062,11.9,56.2,0.99558,3.27,0.796,10.5,6
8.34,0.882,0.294,3.37,0.115,4.9,59.7,0.99968,3.28,0.457,9.6,5
9.15,0.34,0.191,2.85,0.031,13.9,47.3,1.00111,3.17,0.982,9.8,7
10.77,0.565,0.48,1.57,0.085,12.9,41.5,0.99324,3.25,0.742,12.5,7
9.93,0.672,0.146,2.06,0.04,23.8,61.8,0.99355,3.08,0.921,11.5,5
11.96,0.482,0.21,3.52,0.097,29.1,47.4,0.99686,3.22,0.568,8.7,6
7.0,0.619,0.0,2.42,0.086,30.0,106.7,0.9988,3.27,0.951,8.7,5
9.78,0.576,0.184,5.18,0.03,10.4,13.2,0.99642,3.27,0.784,9.4,5
8.61,1.003,0.0,2.64,0.134,13.9,52.6,1.00153,3.29,0.723,8.4,4
12.02,0.787,0.0,2.46,0.055,1.0,76.5,0.99275,3.29,0.722,10.9,6
6.93,0.83,0.439,2.06,0.053,7.9,43.1,0.99783,3.37,0.645,9.6,6
6.87,0.814,0.419,2.41,0.094,25.6,56.8,0.99549,3.44,0.852,11.9,5
7.28,0.573,0.351,2.18,0.127,32.2,60.0,1.0013,3.21,0.682,10.9,5
4.69,0.542,0.136,2.95,0.039,3.7,35.0,1.00018,3.1,0.395,11.2,7
7.41,0.784,0.261,3.21,0.089,10.1,72.5,0.99508,3.15,0.481,10.7,5
7.01,0.561,0.269,1.75,0.102,15.7,6.5,0.99563,3.24,0.63,10.8,5
8.56,0.758,0.075,1.44,0.105,18.8,84.5,0.99825,3.24,0.735,9.8,6
8.88,0.579,0.606,1.21,0.081,7.9,14.4,0.99423,3.16,0.701,10.2,7
11.49,0.671,0.437,2.75,0.074,20.2,49.9,0.99689,3.12,0.855,9.8,5
9.92,0.757,0.253,1.56,0.052,11.3,37.7,0.99616,3.23,0.373,11.2,6
7.32,0.723,0.3,1.08,0.084,15.9,62.6,0.9913,3.32,0.708,10.5,6
6.77,0.673,0.31,2.64,0.049,21.5,24.5,0.99697,3.4,0.369,8.4,5
9.14,0.816,0.0,5.5,0.012,16.1,60.3,0.99438,3.21,0.807,9.5,6
6.06,0.579,0.223,2.3,0.102,11.6,87.1,0.99577,3.25,0.645,9.6,5
11.41,0.745,0.165,3.08,0.113,14.9,22.6,0.99971,3.16,0.752,10.3,6
10.31,0.742,0.105,2.37,0.012,15.1,53.9,0.99296,3.29,0.547,12.3,6
7.5,0.625,0.242,2.22,0.046,12.3,34.1,0.99813,3.17,0.89,9.0,6
5.39,0.762,0.612,3.17,0.109,13.4,56.9,0.9963,3.4,0.827,10.2,5
10.6,0.502,0.417,2.08,0.153,32.0,67.4,0.9954,3.03,0.778,11.8,6
8.11,0.84,0.161,2.53,0.088,21.6,43.8,0.99898,3.26,0.639,12.0,5
10.4,0.696,0.379,2.57,0.062,13.0,57.8,0.99785,3.36,0.753,9.3,5
5.59,0.652,0.536,1.82,0.081,23.0,94.1,0.99843,3.34,0.547,10.2,5
7.28,0.801,0.471,3.25,0.129,12.7,43.8,0.99852,3.7,0.822,10.9,6
8.31,0.573,0.306,2.16,0.058,27.7,77.1,0.99527,3.35,0.949,10.5,6
8.38,0.592,0.122,1.77,0.065,19.7,28.8,0.99637,3.17,0.806,9.0,4
7.53,0.463,0.428,2.78,0.064,14.9,30.8,0.99339,3.28,0.568,10.8,6
9.36,0.799,0.345,1.68,0.054,20.5,64.9,0.99494,3.04,0.718,8.4,5
6.49,0.499,0.465,2.32,0.085,1.0,65.7,1.00347,3.28,0.478,11.0,6
8.06,0.948,0.391,2.29,0.144,4.7,46.8,1.00011,3.19,0.752,9.8,5
8.5,0.394,0.494,3.36,0.092,4.1,32.8,0.99272,3.43,0.757,10.1,6
9.17,0.941,0.168,2.72,0.078,17.4,52.4,0.99369,3.23,0.361,11.7,5
9.51,0.637,0.57,2.28,0.065,33.3,43.3,0.9964,3.26,0.524,10.3,7
6.39,0.707,0.308,3.06,0.032,38.3,85.4,0.99837,3.21,0.615,9.3,5
5.69,0.649,0.664,3.74,0.118,22.4,75.0,0.99837,3.57,0.612,11.7,5
10.47,0.772,0.139,2.8,0.084,21.0,47.0,0.99636,3.26,0.466,8.9,5
8.86,0.605,0.65,2.31,0.069,1.0,26.6,0.99489,3.55,0.772,10.4,7
7.03,0.753,0.358,1.45,0.187,10.6,50.9,0.99602,3.4,0.75,10.9,7
10.94,0.735,0.146,1.58,0.097,8.1,34.4,0.99721,3.38,0.629,10.5,5
8.5,0.685,0.203,2.07,0.055,9.8,43.5,0.99055,3.35,0.564,10.6,6
10.3,0.618,0.234,1.86,0.066,14.3,91.3,0.99553,3.35,0.853,9.1,6
8.41,0.658,0.376,2.15,0.121,11.3,41.3,0.99397,3.01,0.95,9.8,6
11.8,0.705,0.394,2.35,0.085,1.0,28.8,0.99654,3.25,0.608,9.7,6
11.28,0.498,0.161,2.77,0.037,23.5,45.5,1.004,3.44,0.562,9.6,5
7.88,0.545,0.265,2.24,0.119,5.3,55.2,0.99792,3.3,0.739,10.1,5
9.95,0.707,0.727,2.73,0.052,18.4,49.8,0.99442,3.07,0.653,11.4,7
9.4,0.632,0.648,2.35,0.141,36.7,58.8,0.9975,3.27,0.688,9.2,7
10.63,0.641,0.378,1.15,0.119,6.8,68.2,0.99731,3.55,0.803,11.4,6
6.66,0.722,0.277,1.66,0.071,1.0,64.4,0.99805,3.5,0.355,10.0,5
9.47,0.765,0.293,2.19,0.132,13.1,36.1,0.99852,3.3,0.871,11.1,5
10.1,0.595,0.412,1.51,0.083,27.0,24.7,1.00124,3.44,0.697,10.8,6
5.31,0.509,0.126,2.84,0.105,35.6,90.7,0.99237,3.23,0.644,12.1,7
6.29,0.635,0.271,3.93,0.092,3.7,25.0,0.99638,3.02,0.696,11.5,7
4.83,0.538,0.0,3.52,0.051,21.0,71.8,0.99378,3.16,0.679,11.7,6
7.84,0.718,0.371,2.13,0.058,11.3,6.9,0.99749,3.53,0.408,10.9,6
9.52,0.499,0.393,3.88,0.123,14.9,67.8,0.9947,3.27,0.899,9.6,5
10.85,0.854,0.178,2.42,0.075,42.4,53.2,0.99596,3.27,0.667,12.0,5
8.43,0.671,0.619,2.04,0.061,1.0,50.6,0.99446,3.24,0.781,11.9,7
11.07,0.698,0.062,1.86,0.048,18.5,53.8,0.99854,3.58,0.837,10.9,6
5.95,0.903,0.0,2.07,0.108,20.7,36.6,1.0002,3.57,0.472,8.4,4
5.4,0.937,0.313,2.01,0.159,26.9,53.7,0.99389,3.64,0.736,8.4,5
8.21,0.797,0.494,2.44,0.044,17.0,65.7,0.99624,3.27,0.642,10.6,6
8.95,0.591,0.54,2.43,0.1,19.1,56.2,0.99703,3.38,0.745,8.5,3
8.24,0.554,0.183,2.3,0.136,12.1,58.8,0.99385,3.08,0.33,9.1,5
4.79,0.584,0.5,2.68,0.078,18.7,93.2,0.99556,3.52,0.669,10.5,6
8.15,0.668,0.288,3.49,0.097,12.6,16.3,0.99533,3.12,0.589,11.9,6
6.08,0.732,0.262,3.21,0.044,22.2,89.6,1.00217,3.33,0.754,11.0,6
9.44,0.626,0.438,1.37,0.102,12.3,49.4,0.99808,3.15,0.735,8.6,5
8.92,0.689,0.419,0.94,0.074,19.8,36.8,0.99266,3.21,0.572,10.2,6
6.7,0.622,0.0,3.19,0.122,15.7,24.1,0.99559,3.18,0.546,8.9,5
7.43,0.641,0.551,1.43,0.129,27.3,58.5,0.99955,3.22,0.642,9.3,5
6.5,0.482,0.557,2.13,0.172,15.5,68.9,1.00132,3.21,0.542,9.9,6
8.19,0.545,0.176,1.53,0.101,1.0,33.4,0.99214,3.21,0.82,9.9,6
9.92,0.489,0.37,1.22,0.092,28.6,93.8,0.9914,3.42,0.626,9.1,6
6.62,0.538,0.389,2.78,0.088,6.9,12.9,1.00078,3.13,0.33,10.2,6
9.16,0.802,0.345,3.0,0.069,9.5,44.2,0.99707,3.33,0.625,9.8,6
7.4,0.597,0.165,1.88,0.099,10.0,20.0,0.99483,3.49,0.494,8.4,5
6.95,1.062,0.142,0.93,0.077,29.7,72.0,0.99834,3.23,0.399,11.8,5
8.12,0.784,0.265,1.9,0.093,1.0,53.7,0.99041,3.2,0.462,10.8,5
6.54,0.744,0.493,2.64,0.133,47.4,74.0,0.99701,3.28,0.678,9.3,5
7.36,0.498,0.423,1.37,0.04,26.6,9.5,0.99602,3.46,0.923,11.0,7
6.26,0.811,0.2,2.45,0.127,18.2,57.2,0.99931,3.34,0.71,8.5,5
11.64,0.535,0.467,2.29,0.121,15.5,59.2,0.99267,3.2,0.613,12.7,7
8.36,0.681,0.0,2.82,0.077,18.9,61.9,0.99631,3.37,0.758,12.2,6
7.11,0.998,0.513,2.4,0.012,21.2,80.9,0.99379,3.13,0.612,10.5,6
8.66,0.653,0.0,1.64,0.06,22.5,36.0,0.99674,3.4,0.574,11.4,6
8.11,0.814,0.226,3.5,0.126,21.6,70.2,0.99386,3.36,0.5,10.5,6
7.92,0.574,0.082,2.18,0.08,16.9,75.7,0.99508,3.25,0.405,9.0,6
9.34,0.715,0.024,2.28,0.052,14.0,13.5,0.99451,3.18,0.598,9.3,5
9.59,0.895,0.516,1.66,0.063,14.5,55.9,0.99773,3.16,0.71,10.5,6
7.4,0.638,0.181,1.97,0.116,14.1,39.0,0.99915,3.39,0.645,9.2,5
7.32,1.011,0.311,1.69,0.112,27.3,60.7,0.99731,3.51,0.568,8.8,4
7.83,0.757,0.286,2.16,0.073,21.9,63.9,0.9962,3.2,0.534,10.3,6
4.6,0.647,0.361,4.19,0.074,1.0,26.3,0.99338,3.38,0.757,9.6,5
5.72,0.692,0.335,1.42,0.061,22.6,44.0,0.99445,2.97,0.499,11.1,7
10.62,0.736,0.076,1.31,0.043,17.9,53.6,0.99507,3.19,0.834,9.9,7
11.1,0.691,0.509,3.85,0.132,15.8,29.1,1.00175,3.28,0.55,10.3,7
7.88,0.516,0.176,2.14,0.076,12.1,25.4,0.99422,3.17,0.54,8.4,5
9.28,0.68,0.0,1.82,0.136,27.2,75.8,1.00156,3.18,0.4,10.0,4
8.83,0.578,0.239,3.31,0.128,25.5,37.5,0.99769,3.18,0.63,8.9,7
13.53,0.71,0.555,1.86,0.122,8.3,56.6,0.9977,3.35,0.816,10.9,5
10.2,0.691,0.482,4.36,0.06,20.1,64.3,0.9996,3.25,0.793,12.4,7
8.08,0.633,0.254,2.92,0.089,6.3,6.8,0.99613,2.94,0.867,10.7,7
6.68,0.491,0.229,1.94,0.08,2.2,23.7,0.99707,2.98,0.769,8.4,6
5.57,0.769,0.209,4.89,0.055,9.7,68.6,0.99687,3.22,0.483,9.3,5
8.65,0.799,0.665,1.86,0.098,24.6,40.0,1.00006,3.38,0.607,9.6,5
7.01,0.738,0.368,2.98,0.04,25.5,51.2,0.99884,2.88,0.56,9.3,6
5.88,0.861,0.352,2.55,0.129,21.1,65.4,0.99544,3.24,0.873,9.2,5
7.2,0.828,0.466,3.63,0.071,23.3,73.9,0.9937,3.23,0.469,11.2,5
6.46,0.725,0.34,3.97,0.088,21.2,51.1,0.99559,3.5,0.828,11.0,6
11.17,0.601,0.271,2.33,0.085,9.6,32.6,0.9932,3.22,0.853,10.1,7
9.8,0.449,0.258,1.77,0.072,20.3,83.8,0.99594,3.35,0.978,8.8,6
8.29,0.721,0.281,2.7,0.102,24.0,93.8,0.99919,3.32,0.619,10.0,6
10.82,0.747,0.263,1.81,0.07,23.5,78.1,0.99586,2.99,0.774,9.5,5
8.43,0.7,0.433,4.65,0.111,27.9,64.6,0.99599,3.41,1.05,10.8,6
6.84,0.389,0.355,2.41,0.022,23.1,41.9,0.99445,3.3,0.636,11.1,8
10.89,0.579,0.409,2.02,0.091,19.5,37.9,0.99912,3.39,0.414,10.2,5
9.22,0.802,0.28,2.45,0.149,26.7,72.2,0.99048,3.88,0.384,12.3,6
6.54,0.605,0.335,1.44,0.04,15.7,59.1,0.99368,2.97,0.824,11.8,7
7.98,0.754,0.0,1.64,0.057,7.2,70.2,0.99663,3.55,0.384,10.3,6
6.81,0.669,0.469,3.5,0.099,14.4,62.4,0.9991,3.25,0.625,10.2,6
5.95,0.669,0.361,1.83,0.087,8.6,13.5,0.99487,3.34,0.755,10.0,6
9.87,0.842,0.46,1.59,0.099,9.2,65.3,0.99231,3.3,0.69,10.9,5
11.55,0.653,0.0,2.78,0.104,14.6,29.6,0.99855,3.25,0.728,9.1,5
5.92,0.677,0.692,3.48,0.103,8.1,35.4,0.99451,3.21,0.721,10.4,6
9.26,0.605,0.268,2.96,0.12,12.9,52.9,0.99313,3.34,0.89,10.4,6
7.19,0.554,0.531,3.26,0.089,1.0,75.9,0.99364,3.05,0.558,10.5,7
7.47,0.57,0.122,1.76,0.067,18.1,115.3,0.99474,3.39,0.602,9.6,7
7.29,0.694,0.411,1.4,0.105,16.0,63.1,0.99459,3.23,0.561,10.7,6
6.83,0.603,0.095,3.89,0.147,7.8,39.2,0.99059,3.13,0.818,10.3,6
8.38,0.828,0.176,2.05,0.076,22.6,68.3,0.99834,3.23,0.829,10.9,6
6.89,0.549,0.659,2.11,0.047,25.4,78.1,0.99929,3.48,0.757,9.8,6
8.76,0.641,0.259,3.66,0.12,1.0,29.6,0.99773,3.21,0.874,11.6,6
8.21,0.608,0.336,2.79,0.077,8.4,79.3,0.99326,3.35,0.497,9.5,6
7.89,0.798,0.485,2.7,0.012,8.3,47.9,0.9947,3.17,0.977,12.7,7
6.76,0.746,0.364,4.91,0.117,6.6,51.6,0.99698,3.42,0.904,8.4,5
7.32,0.854,0.299,1.84,0.068,24.3,72.6,0.9985,3.41,0.778,10.1,5
9.58,0.527,0.339,3.18,0.084,14.1,57.5,0.99867,3.59,0.945,10.2,5
9.15,0.7,0.752,2.35,0.093,13.4,65.1,0.99426,3.27,0.42,9.6,6
6.64,0.891,0.234,2.53,0.1,1.0,23.7,0.9981,3.43,0.551,9.5,4
8.47,0.676,0.333,3.93,0.106,22.4,46.2,0.99724,3.31,0.567,11.6,6
9.58,0.804,0.495,2.75,0.066,3.6,16.6,0.99974,3.49,0.8,8.4,6
5.46,0.653,0.48,2.78,0.105,16.6,60.4,0.99876,3.2,0.492,10.2,5
9.22,0.848,0.521,3.35,0.072,18.8,69.4,0.99807,3.41,0.806,8.4,6
7.17,1.074,0.366,2.02,0.119,29.6,73.8,0.99811,3.3,0.854,8.4,4
9.27,0.728,0.028,1.71,0.115,2.9,71.4,1.00143,3.32,0.746,10.7,4
7.0,0.607,0.605,1.6,0.048,1.0,35.9,0.99712,3.31,0.73,9.8,6
5.23,0.909,0.052,1.16,0.125,17.8,66.2,0.99485,3.35,0.502,8.5,5
5.53,0.925,0.328,4.72,0.068,34.0,47.2,1.00051,3.29,0.525,9.5,5
